timestamp,temp_raw,ldr_raw,temp_filt,ldr_filt
2026-04-11T07:33:00Z,21.82,490,22.316,490
2026-04-11T07:33:01Z,22.04,521,22.178,505.5
2026-04-11T07:33:02Z,22.07,532,22.142,514.333
2026-04-11T07:33:03Z,21.96,558,22.096,525.25
2026-04-11T07:33:04Z,21.95,573,22.067,534.8
2026-04-11T07:33:05Z,22.13,584,22.03,553.6
2026-04-11T07:33:06Z,21.91,592,22.004,567.8
2026-04-11T07:33:07Z,22.15,605,22.02,582.4
2026-04-11T07:33:08Z,21.97,594,22.022,589.6
2026-04-11T07:33:09Z,22.28,603,22.088,595.6
2026-04-11T07:33:10Z,22.17,591,22.096,597
2026-04-11T07:33:11Z,22.19,588,22.152,596.2
2026-04-11T07:33:12Z,22.12,564,22.146,588
2026-04-11T07:33:13Z,22.11,545,22.174,578.2
2026-04-11T07:33:14Z,22.11,535,22.14,564.6
2026-04-11T07:33:15Z,22.34,507,22.174,547.8
2026-04-11T07:33:16Z,22.34,492,22.204,528.6
2026-04-11T07:33:17Z,22.03,475,22.186,510.8
2026-04-11T07:33:18Z,22.34,447,22.232,491.2
2026-04-11T07:33:19Z,22.16,429,22.242,470
2026-04-11T07:33:20Z,22.04,430,22.182,454.6
2026-04-11T07:33:21Z,22.26,420,22.166,440.2
2026-04-11T07:33:22Z,22.15,395,22.19,424.2
2026-04-11T07:33:23Z,22.42,405,22.206,415.8
2026-04-11T07:33:24Z,22.19,402,22.212,410.4
2026-04-11T07:33:25Z,22.15,410,22.234,406.4
2026-04-11T07:33:26Z,22.36,407,22.254,403.8
2026-04-11T07:33:27Z,22.39,430,22.302,410.8
2026-04-11T07:33:28Z,22.13,446,22.244,419
2026-04-11T07:33:29Z,22.23,450,22.252,428.6
2026-04-11T07:33:30Z,22.12,474,22.246,441.4
2026-04-11T07:33:31Z,22.51,488,22.276,457.6
2026-04-11T07:33:32Z,22.14,510,22.226,473.6
2026-04-11T07:33:33Z,22.3,538,22.26,492
2026-04-11T07:33:34Z,22.24,550,22.262,512
2026-04-11T07:33:35Z,22.51,573,22.34,531.8
2026-04-11T07:33:36Z,22.54,589,22.346,552
2026-04-11T07:33:37Z,22.32,585,22.382,567
2026-04-11T07:33:38Z,22.39,594,22.4,578.2
2026-04-11T07:33:39Z,22.56,605,22.464,589.2
2026-04-11T07:33:40Z,22.44,599,22.45,594.4
2026-04-11T07:33:41Z,22.58,602,22.458,597
2026-04-11T07:33:42Z,22.49,581,22.492,596.2
2026-04-11T07:33:43Z,22.6,565,22.534,590.4
2026-04-11T07:33:44Z,22.43,556,22.508,580.6
2026-04-11T07:33:45Z,22.56,543,22.532,569.4
2026-04-11T07:33:46Z,22.55,529,22.526,554.8
2026-04-11T07:33:47Z,22.59,496,22.546,537.8
2026-04-11T07:33:48Z,22.37,477,22.5,520.2
2026-04-11T07:33:49Z,22.49,469,22.512,502.8
2026-04-11T07:33:50Z,22.7,439,22.54,482
2026-04-11T07:33:51Z,22.69,438,22.568,463.8
2026-04-11T07:33:52Z,22.35,425,22.52,449.6
2026-04-11T07:33:53Z,22.71,414,22.588,437
2026-04-11T07:33:54Z,22.35,406,22.56,424.4
2026-04-11T07:33:55Z,22.74,399,22.568,416.4
2026-04-11T07:33:56Z,22.39,409,22.508,410.6
2026-04-11T07:33:57Z,22.68,407,22.574,407
2026-04-11T07:33:58Z,22.51,423,22.534,408.8
2026-04-11T07:33:59Z,22.57,431,22.578,413.8
